#,Gender?,College,"Whiskey Sour","Old Fashion","Whiskey Coke","Pickle Back","Tequila Sunrise",Margarita,Freddy Fudpucker,"Bacardi Cocktail","Rum and Coke",Mojito,Daiquiri,Malibu,"Blue Hawaii","Mai Tai",Gimlet,"Gin and Tonic","French 75","White Russian","Cran Vodka",Appletini,Cosmo,"Blue Guy",Screwdriver,"Moscow Mule","Lemon Drop","Sex on the Beach",Mimosa,"Long Island","SF Slide","Please add you favorite drinks we may have missed (seperate multiple values with a ',')","Start Date (UTC)","Submit Date (UTC)","Network ID"
f80bdc9c6d6ac8d300a754515a56a9fe,Male,"College of ACES",Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,,"2016-10-05 18:28:03","2016-10-05 18:29:29",771c841079
6ddfa08f261024b2eab2848f59a79e77,Male,"College of LAS","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know",Like,"Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know",Like,"Don't Know","Don't Know","Don't Know","Don't Know",,"2016-10-05 18:28:03","2016-10-05 18:29:38",6602cb74d8
df975a317b663f8b40e3486845c7e9c1,Female,"College of Engineering",Like,Like,Like,Dislike,Like,Like,"Don't Know",Like,Like,Like,Like,Like,"Don't Know","Don't Know","Don't Know",Dislike,"Don't Know",Like,Like,Dislike,Like,Like,Like,"Don't Know","Don't Know",Like,Like,Like,"Don't Know",,"2016-10-05 18:28:16","2016-10-05 18:29:56",197b4ffab5
0543fcbc0ce78f72d6bb3d26bc573303,Male,"College of LAS",Like,Like,Like,Dislike,Like,Like,Dislike,Dislike,Dislike,Like,Dislike,Dislike,Like,Dislike,Dislike,Like,Dislike,Like,Dislike,Dislike,Dislike,Like,Like,Like,Dislike,Dislike,Like,Like,Dislike,"Adios Motherfucker, liquid marijuana","2016-10-05 18:28:41","2016-10-05 18:30:21",56c1926e1e
fc878ed4e14ab2d21ea935a94a257502,Male,"College of Engineering",Dislike,Like,Like,Dislike,,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,,Like,Like,,Like,,Like,,,,,,Like,Like,Dislike,beer,"2016-10-05 18:30:11","2016-10-05 18:31:11",58b03400b4
ff9d7fa7cdece742d5865e6597b81a66,Female,"College of LAS","Don't Know","Don't Know",Like,Dislike,Like,Like,"Don't Know","Don't Know",Like,Like,Like,Like,"Don't Know",Like,"Don't Know","Don't Know","Don't Know",Like,Like,Like,"Don't Know",Like,Like,"Don't Know",Like,Like,Like,Like,"Don't Know",Fishbowl,"2016-10-05 18:30:28","2016-10-05 18:32:46",cf28d6ce61
ae8bda9207cc9e9fe368bff6ed25e29f,Male,"College of Engineering","Don't Know","Don't Know",Dislike,"Don't Know",Like,"Don't Know","Don't Know","Don't Know",Dislike,"Don't Know",Like,"Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know",Dislike,"Don't Know","Don't Know","Don't Know","Don't Know","Don't Know",Like,"Don't Know",,"2016-10-05 18:30:43","2016-10-05 18:33:04",809f6b2eaf
affa89a9ba4bcc2ef0e0b9c0ec1c0018,Male,"College of Engineering",Like,Like,Like,Dislike,Dislike,Like,"Don't Know",Like,Like,"Don't Know","Don't Know",Like,Like,Like,"Don't Know",Dislike,"Don't Know",Like,Dislike,Dislike,"Don't Know",Like,Like,"Don't Know",Like,Like,Like,Like,"Don't Know",,"2016-10-05 18:31:26","2016-10-05 18:33:11",bdacd5498b
0489faf2b506a7daa85b0bc7ad7c8faa,Male,DGS,"Don't Know",Like,Like,"Don't Know",Dislike,"Don't Know","Don't Know",Like,Like,Like,"Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know",Like,Like,"Don't Know","Don't Know",Like,"Don't Know",Like,"Don't Know","Don't Know",Like,"Don't Know",,"2016-10-05 18:33:13","2016-10-05 18:35:23",e6ee2f69c4
835eebaab72e982edd18a564676a1fca,Male,DGS,"Don't Know","Don't Know",Like,"Don't Know","Don't Know",Like,"Don't Know","Don't Know",Like,"Don't Know",Like,Like,"Don't Know",Like,"Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know",Like,"Don't Know","Don't Know",Like,"Don't Know","Don't Know","Don't Know","Don't Know",,"2016-10-05 18:32:14","2016-10-05 18:35:40",20dd855e51
